Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,Month,Day,Hour
42.22862,-83.2082,8,1000,66,30,9.6,243,01,01,00
42.22862,-83.2082,8,1000,67,30,7.8,236,01,01,01
42.22862,-83.2082,8,999,67,30,8.700000000000001,240,01,01,02
42.22862,-83.2082,8,999,66,30,8.700000000000001,235,01,01,03
42.22862,-83.2082,7,999,68,28,9.6,236,01,01,04
42.22862,-83.2082,8,999,66,28,9.6,238,01,01,05
42.22862,-83.2082,10,999,67,28,8.700000000000001,234,01,01,06
42.22862,-83.2082,9,999,66,28,9.6,228,01,01,07
42.22862,-83.2082,9,999,69,28,9.6,225,01,01,08
42.22862,-83.2082,8,999,66,28,10.4,235,01,01,09
42.22862,-83.2082,8,999,65,28,10.4,240,01,01,10
42.22862,-83.2082,8,999,66,28,10.4,237,01,01,11
42.22862,-83.2082,9,999,69,28,9.6,233,01,01,12
42.22862,-83.2082,10,999,74,28,9.6,239,01,01,13
42.22862,-83.2082,10,999,74,27,9.6,255,01,01,14
42.22862,-83.2082,10,999,74,27,7.8,253,01,01,15
42.22862,-83.2082,12,999,75,27,6.9,244,01,01,16
42.22862,-83.2082,10,999,74,27,6.9,244,01,01,17
42.22862,-83.2082,9,999,73,28,6.9,239,01,01,18
42.22862,-83.2082,9,999,72,28,6.9,235,01,01,19
42.22862,-83.2082,8,1000,70,28,6.9,234,01,01,20
42.22862,-83.2082,8,999,69,28,6.9,233,01,01,21
42.22862,-83.2082,7,999,71,28,6.1000000000000005,230,01,01,22
42.22862,-83.2082,7,999,73,28,6.1000000000000005,228,01,01,23
42.22862,-83.2082,6,999,74,28,6.1000000000000005,236,01,02,00
42.22862,-83.2082,6,997,76,28,6.1000000000000005,211,01,02,01
42.22862,-83.2082,9,997,79,28,6.9,214,01,02,02
42.22862,-83.2082,7,997,80,28,6.9,223,01,02,03
42.22862,-83.2082,6,996,80,28,7.8,226,01,02,04
42.22862,-83.2082,7,996,81,28,6.9,226,01,02,05
42.22862,-83.2082,7,996,80,30,6.9,225,01,02,06
42.22862,-83.2082,8,996,79,30,6.1000000000000005,225,01,02,07
42.22862,-83.2082,8,996,79,30,6.1000000000000005,223,01,02,08
42.22862,-83.2082,7,997,78,30,5.2,223,01,02,09
42.22862,-83.2082,6,996,73,32,6.1000000000000005,229,01,02,10
42.22862,-83.2082,6,996,65,34,7.8,252,01,02,11
42.22862,-83.2082,5,996,62,36,7.8,252,01,02,12
42.22862,-83.2082,5,995,61,36,8.700000000000001,234,01,02,13
42.22862,-83.2082,6,993,61,36,9.6,226,01,02,14
42.22862,-83.2082,7,993,65,36,10.4,224,01,02,15
42.22862,-83.2082,8,993,70,34,9.6,223,01,02,16
42.22862,-83.2082,8,993,73,32,7.8,223,01,02,17
42.22862,-83.2082,7,992,74,32,6.9,222,01,02,18
42.22862,-83.2082,8,992,76,32,6.1000000000000005,212,01,02,19
42.22862,-83.2082,5,991,75,32,9.6,217,01,02,20
42.22862,-83.2082,5,989,75,32,12.200000000000001,226,01,02,21
42.22862,-83.2082,6,989,76,32,12.200000000000001,233,01,02,22
42.22862,-83.2082,7,989,76,32,9.6,245,01,02,23
42.22862,-83.2082,5,989,75,32,7.8,254,01,03,00
42.22862,-83.2082,7,989,71,34,8.700000000000001,258,01,03,01
42.22862,-83.2082,9,989,70,34,6.9,263,01,03,02
42.22862,-83.2082,9,989,67,36,8.700000000000001,277,01,03,03
42.22862,-83.2082,12,991,66,34,6.9,281,01,03,04
42.22862,-83.2082,10,991,66,34,6.1000000000000005,274,01,03,05
42.22862,-83.2082,10,991,67,34,6.1000000000000005,269,01,03,06
42.22862,-83.2082,8,992,68,34,6.1000000000000005,270,01,03,07
42.22862,-83.2082,9,993,72,34,6.9,286,01,03,08
42.22862,-83.2082,8,993,77,34,6.1000000000000005,286,01,03,09
42.22862,-83.2082,3,995,67,34,5.2,305,01,03,10
42.22862,-83.2082,2,995,63,34,5.2,310,01,03,11
42.22862,-83.2082,1,995,61,34,5.2,316,01,03,12
42.22862,-83.2082,3,995,57,34,6.1000000000000005,313,01,03,13
42.22862,-83.2082,4,996,58,34,5.2,311,01,03,14
42.22862,-83.2082,5,996,56,32,4.3,321,01,03,15
42.22862,-83.2082,4,997,52,32,4.3,328,01,03,16
42.22862,-83.2082,5,997,47,32,5.2,326,01,03,17
42.22862,-83.2082,5,999,47,32,4.3,313,01,03,18
42.22862,-83.2082,5,999,47,30,4.3,318,01,03,19
42.22862,-83.2082,6,1000,49,30,3.5,321,01,03,20
42.22862,-83.2082,8,1000,51,28,2.6,336,01,03,21
42.22862,-83.2082,4,1000,51,28,3.5,352,01,03,22
42.22862,-83.2082,6,1000,54,27,2.6,316,01,03,23
42.22862,-83.2082,4,1000,55,27,3.5,318,01,04,00
42.22862,-83.2082,3,1000,54,27,3.5,331,01,04,01
42.22862,-83.2082,4,1001,54,27,2.6,323,01,04,02
42.22862,-83.2082,4,1001,58,27,3.5,328,01,04,03
42.22862,-83.2082,4,1001,61,27,3.5,333,01,04,04
42.22862,-83.2082,5,1003,63,27,3.5,309,01,04,05
42.22862,-83.2082,6,1003,65,25,3.5,317,01,04,06
42.22862,-83.2082,6,1004,65,25,2.6,338,01,04,07
42.22862,-83.2082,7,1005,67,25,4.3,348,01,04,08
42.22862,-83.2082,7,1007,69,25,5.2,4,01,04,09
42.22862,-83.2082,9,1008,75,25,6.1000000000000005,23,01,04,10
42.22862,-83.2082,6,1009,80,23,6.1000000000000005,46,01,04,11
42.22862,-83.2082,7,1009,74,23,6.1000000000000005,43,01,04,12
42.22862,-83.2082,6,1009,60,25,6.9,34,01,04,13
42.22862,-83.2082,9,1009,56,25,7.8,19,01,04,14
42.22862,-83.2082,6,1011,55,25,7.8,22,01,04,15
42.22862,-83.2082,7,1012,51,23,8.700000000000001,13,01,04,16
42.22862,-83.2082,6,1012,54,23,6.1000000000000005,7,01,04,17
42.22862,-83.2082,6,1013,54,21,5.2,12,01,04,18
42.22862,-83.2082,7,1013,56,21,4.3,6,01,04,19
42.22862,-83.2082,7,1015,58,19,4.3,5,01,04,20
42.22862,-83.2082,8,1015,60,19,2.6,6,01,04,21
42.22862,-83.2082,8,1016,64,18,2.6,12,01,04,22
42.22862,-83.2082,8,1016,65,18,2.6,360,01,04,23
42.22862,-83.2082,9,1016,71,18,1.7,100,01,05,00
42.22862,-83.2082,4,1016,74,18,3.5,116,01,05,01
42.22862,-83.2082,5,1016,72,16,3.5,110,01,05,02
42.22862,-83.2082,4,1016,69,14,2.6,118,01,05,03
42.22862,-83.2082,5,1016,61,14,0.9,158,01,05,04
