Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,Month,Day,Hour
42.22862,-83.2082,11,988,41,84,12.200000000000001,221,05,18,11
42.22862,-83.2082,11,988,38,86,12.200000000000001,229,05,18,12
42.22862,-83.2082,12,988,35,88,13,232,05,18,13
42.22862,-83.2082,15,988,35,88,11.3,240,05,18,14
42.22862,-83.2082,13,988,34,88,11.3,239,05,18,15
42.22862,-83.2082,13,988,33,88,10.4,242,05,18,16
42.22862,-83.2082,14,988,35,88,8.700000000000001,232,05,18,17
42.22862,-83.2082,15,988,38,86,6.9,238,05,18,18
42.22862,-83.2082,8,989,36,84,8.700000000000001,281,05,18,19
42.22862,-83.2082,9,991,43,79,6.9,282,05,18,20
42.22862,-83.2082,6,992,46,75,7.8,292,05,18,21
42.22862,-83.2082,8,992,52,73,6.1000000000000005,296,05,18,22
42.22862,-83.2082,11,993,63,70,5.2,305,05,18,23
42.22862,-83.2082,2,993,72,63,5.2,314,05,19,00
42.22862,-83.2082,2,995,72,61,5.2,316,05,19,01
42.22862,-83.2082,3,995,70,57,4.3,329,05,19,02
42.22862,-83.2082,4,996,72,54,2.6,340,05,19,03
42.22862,-83.2082,3,997,74,52,2.6,2,05,19,04
42.22862,-83.2082,3,997,74,50,4.3,20,05,19,05
42.22862,-83.2082,4,999,75,50,4.3,17,05,19,06
42.22862,-83.2082,5,1000,74,52,2.6,19,05,19,07
42.22862,-83.2082,4,1000,71,52,3.5,20,05,19,08
42.22862,-83.2082,5,1000,72,52,3.5,25,05,19,09
42.22862,-83.2082,5,1000,64,54,3.5,19,05,19,10
42.22862,-83.2082,4,1001,60,57,3.5,21,05,19,11
42.22862,-83.2082,5,1000,58,57,3.5,38,05,19,12
42.22862,-83.2082,5,1000,60,57,4.3,30,05,19,13
42.22862,-83.2082,7,1000,75,54,3.5,40,05,19,14
42.22862,-83.2082,4,1000,68,55,4.3,38,05,19,15
42.22862,-83.2082,8,1000,65,55,3.5,41,05,19,16
42.22862,-83.2082,3,1000,59,54,5.2,23,05,19,17
42.22862,-83.2082,5,1000,59,54,4.3,40,05,19,18
42.22862,-83.2082,7,1000,60,54,3.5,41,05,19,19
42.22862,-83.2082,9,1001,66,52,3.5,33,05,19,20
42.22862,-83.2082,7,1003,80,48,4.3,20,05,19,21
42.22862,-83.2082,4,1001,74,48,3.5,23,05,19,22
42.22862,-83.2082,6,1001,67,48,2.6,33,05,19,23
42.22862,-83.2082,6,1001,65,50,2.6,38,05,20,00
42.22862,-83.2082,7,1003,65,52,2.6,18,05,20,01
42.22862,-83.2082,6,1003,68,50,3.5,20,05,20,02
42.22862,-83.2082,5,1001,63,52,3.5,33,05,20,03
42.22862,-83.2082,5,1001,58,52,3.5,30,05,20,04
42.22862,-83.2082,5,1003,57,52,4.3,34,05,20,05
42.22862,-83.2082,9,1003,59,54,3.5,46,05,20,06
42.22862,-83.2082,7,1003,60,55,3.5,72,05,20,07
42.22862,-83.2082,6,1003,58,59,5.2,74,05,20,08
42.22862,-83.2082,6,1003,55,61,5.2,81,05,20,09
42.22862,-83.2082,5,1003,53,63,5.2,71,05,20,10
42.22862,-83.2082,7,1003,52,64,6.1000000000000005,95,05,20,11
42.22862,-83.2082,6,1003,53,64,6.9,98,05,20,12
