Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,Month,Day,Hour
40.46542,-79.960757,3,992.2,68,22.5,6.8,250,01,01,00
40.46542,-79.960757,3,991.8000000000001,65,22.5,6.7,252,01,01,01
40.46542,-79.960757,6,991.9,62,22.5,6.7,250,01,01,02
40.46542,-79.960757,2,991.5,64,22.1,6.8,252,01,01,03
40.46542,-79.960757,5,991.1,62,21.7,6.7,261,01,01,04
40.46542,-79.960757,9,990.6,64,21.7,8.4,246,01,01,05
40.46542,-79.960757,9,990.6,64,21.900000000000002,8.8,241,01,01,06
40.46542,-79.960757,6,990.7,63,22.1,8,243,01,01,07
40.46542,-79.960757,6,990.8000000000001,62,22.6,9.4,239,01,01,08
40.46542,-79.960757,8,990.7,61,23,9.8,237,01,01,09
40.46542,-79.960757,7,991.1,61,23.2,8.700000000000001,246,01,01,10
40.46542,-79.960757,7,990.4,53,23.5,9.6,255,01,01,11
40.46542,-79.960757,7,989.4,50,24.8,10.5,246,01,01,12
40.46542,-79.960757,2,988.7,47,25.7,9.6,244,01,01,13
40.46542,-79.960757,5,988.2,45,26.400000000000002,9.4,251,01,01,14
40.46542,-79.960757,7,988.3000000000001,43,27.1,9.3,251,01,01,15
40.46542,-79.960757,4,988.6,42,26.6,9.8,262,01,01,16
40.46542,-79.960757,3,989,43,25.900000000000002,7.4,268,01,01,17
40.46542,-79.960757,9,989.2,44,25.7,7,259,01,01,18
40.46542,-79.960757,7,989.6,47,25.3,5.5,266,01,01,19
40.46542,-79.960757,9,989.6,47,25,8.2,264,01,01,20
40.46542,-79.960757,7,989.8000000000001,48,24.1,8.9,278,01,01,21
40.46542,-79.960757,12,990.2,50,23.400000000000002,7.6000000000000005,278,01,01,22
40.46542,-79.960757,5,990.4,52,22.6,8.1,262,01,01,23
40.46542,-79.960757,11,990.3000000000001,57,21.400000000000002,6,295,01,02,00
40.46542,-79.960757,16,990.2,58,21,4.7,272,01,02,01
40.46542,-79.960757,9,990,57,20.5,7,256,01,02,02
40.46542,-79.960757,9,989.8000000000001,60,19.900000000000002,5.3,259,01,02,03
40.46542,-79.960757,15,989.5,61,19.8,6.2,266,01,02,04
40.46542,-79.960757,15,989.5,61,19,5.9,234,01,02,05
40.46542,-79.960757,12,989.4,62,18.900000000000002,7.7,235,01,02,06
40.46542,-79.960757,12,989.4,62,19,7,223,01,02,07
40.46542,-79.960757,8,989.8000000000001,63,19.2,8.3,227,01,02,08
