Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,Month,Day,Hour
42.3295,-71.0826,8,1015,65,39,3.6,231,01,01,00
42.3295,-71.0826,9,1013,63,39,3.6,228,01,01,01
42.3295,-71.0826,6,1015,65,37,3.4,228,01,01,02
42.3295,-71.0826,6,1013,66,37,3.8000000000000003,227,01,01,03
42.3295,-71.0826,9,1013,66,37,4.1,227,01,01,04
42.3295,-71.0826,6,1013,65,37,3.7,228,01,01,05
42.3295,-71.0826,6,1013,65,37,4.1,228,01,01,06
42.3295,-71.0826,3,1013,67,35,4.1,226,01,01,07
42.3295,-71.0826,-1,1013,65,37,4,230,01,01,08
42.3295,-71.0826,4,1015,62,39,5.1000000000000005,227,01,01,09
42.3295,-71.0826,6,1013,59,39,3.6,231,01,01,10
42.3295,-71.0826,6,1012,55,41,3.6,238,01,01,11
42.3295,-71.0826,7,1012,50,41,4.7,267,01,01,12
42.3295,-71.0826,6,1011,50,41,3.1,269,01,01,13
42.3295,-71.0826,6,1011,51,41,3.1,275,01,01,14
42.3295,-71.0826,6,1011,51,41,2.8000000000000003,264,01,01,15
42.3295,-71.0826,9,1011,53,39,1.7,240,01,01,16
42.3295,-71.0826,9,1011,56,39,2.6,228,01,01,17
42.3295,-71.0826,10,1011,59,39,3,229,01,01,18
42.3295,-71.0826,8,1011,62,37,3.8000000000000003,276,01,01,19
42.3295,-71.0826,8,1011,66,37,2.8000000000000003,256,01,01,20
42.3295,-71.0826,5,1011,62,37,3.7,271,01,01,21
42.3295,-71.0826,0,1011,58,35,3.9,269,01,01,22
42.3295,-71.0826,4,1011,54,34,3.3000000000000003,265,01,01,23
42.3295,-71.0826,7,1011,54,34,3.8000000000000003,267,01,02,00
42.3295,-71.0826,4,1012,54,34,4.4,273,01,02,01
42.3295,-71.0826,6,1012,55,32,3,264,01,02,02
42.3295,-71.0826,5,1012,57,32,2.3000000000000003,240,01,02,03
42.3295,-71.0826,6,1012,59,32,2.5,233,01,02,04
42.3295,-71.0826,11,1012,60,32,3.4,232,01,02,05
42.3295,-71.0826,7,1012,60,32,3.4,233,01,02,06
42.3295,-71.0826,10,1013,61,32,4.3,229,01,02,07
42.3295,-71.0826,8,1013,62,32,4.3,225,01,02,08
42.3295,-71.0826,8,1013,58,34,4,238,01,02,09
42.3295,-71.0826,19,1013,50,37,3.7,265,01,02,10
42.3295,-71.0826,9,1012,42,39,5.5,283,01,02,11
42.3295,-71.0826,9,1012,39,41,4.9,279,01,02,12
42.3295,-71.0826,9,1012,39,41,4.8,270,01,02,13
42.3295,-71.0826,7,1011,39,41,4.3,268,01,02,14
42.3295,-71.0826,3,1012,41,39,4.7,277,01,02,15
42.3295,-71.0826,2,1012,45,37,3.3000000000000003,275,01,02,16
42.3295,-71.0826,4,1012,48,35,2.2,261,01,02,17
42.3295,-71.0826,7,1012,52,35,2.2,254,01,02,18
42.3295,-71.0826,12,1012,54,35,2.8000000000000003,225,01,02,19
42.3295,-71.0826,11,1012,56,35,2.7,222,01,02,20
42.3295,-71.0826,11,1012,56,35,3.6,222,01,02,21
42.3295,-71.0826,15,1011,58,34,3.3000000000000003,219,01,02,22
42.3295,-71.0826,10,1011,58,34,3.8000000000000003,220,01,02,23
42.3295,-71.0826,11,1011,58,34,3,224,01,03,00
42.3295,-71.0826,16,1011,58,34,3.7,223,01,03,01
42.3295,-71.0826,7,1009,63,32,3.7,212,01,03,02
42.3295,-71.0826,15,1009,66,32,3.5,215,01,03,03
42.3295,-71.0826,12,1008,64,32,3.6,223,01,03,04
42.3295,-71.0826,9,1008,64,32,3.6,223,01,03,05
42.3295,-71.0826,12,1007,64,32,3.8000000000000003,221,01,03,06
42.3295,-71.0826,13,1007,66,32,3.4,223,01,03,07
42.3295,-71.0826,13,1008,64,34,3.6,228,01,03,08
42.3295,-71.0826,13,1008,58,37,4.4,242,01,03,09
42.3295,-71.0826,13,1007,51,41,3.9,239,01,03,10
42.3295,-71.0826,8,1007,45,43,4.4,249,01,03,11
42.3295,-71.0826,10,1005,43,44,4.3,263,01,03,12
42.3295,-71.0826,8,1005,43,44,4.7,251,01,03,13
42.3295,-71.0826,11,1005,40,44,4.1,244,01,03,14
42.3295,-71.0826,7,1005,42,44,3,250,01,03,15
42.3295,-71.0826,7,1005,48,41,2.2,254,01,03,16
42.3295,-71.0826,14,1007,51,41,2.2,251,01,03,17
42.3295,-71.0826,13,1007,55,39,1.7,220,01,03,18
42.3295,-71.0826,15,1008,58,37,2.8000000000000003,228,01,03,19
42.3295,-71.0826,12,1008,62,35,3.8000000000000003,224,01,03,20
42.3295,-71.0826,13,1008,64,35,2.7,233,01,03,21
42.3295,-71.0826,10,1008,65,35,1.6,234,01,03,22
42.3295,-71.0826,12,1008,67,35,1.6,226,01,03,23
42.3295,-71.0826,11,1008,72,34,1.8,223,01,04,00
42.3295,-71.0826,10,1008,76,32,0.7000000000000001,241,01,04,01
42.3295,-71.0826,9,1009,77,32,0.7000000000000001,214,01,04,02
42.3295,-71.0826,9,1009,77,32,1.3,308,01,04,03
42.3295,-71.0826,6,1009,70,34,3.4,354,01,04,04
42.3295,-71.0826,3,1011,67,32,5,6,01,04,05
42.3295,-71.0826,0,1011,64,32,6.4,4,01,04,06
42.3295,-71.0826,-1,1012,58,30,6.9,357,01,04,07
42.3295,-71.0826,1,1013,54,28,5.9,353,01,04,08
42.3295,-71.0826,2,1015,53,28,4.2,355,01,04,09
42.3295,-71.0826,5,1015,54,26,6,357,01,04,10
42.3295,-71.0826,18,1015,61,25,5.4,358,01,04,12
42.3295,-71.0826,24,1015,67,25,4.3,357,01,04,13
42.3295,-71.0826,9,1015,64,25,5.2,359,01,04,14
42.3295,-71.0826,7,1016,59,25,5.7,355,01,04,15
42.3295,-71.0826,6,1017,57,25,5.3,354,01,04,16
42.3295,-71.0826,7,1019,57,23,5.9,359,01,04,17
42.3295,-71.0826,6,1020,53,21,5.9,358,01,04,18
42.3295,-71.0826,7,1021,52,19,6.3,355,01,04,19
42.3295,-71.0826,7,1023,51,17,7.2,1,01,04,20
42.3295,-71.0826,4,1024,51,17,6.4,360,01,04,21
42.3295,-71.0826,1,1025,52,16,5.8,358,01,04,22
42.3295,-71.0826,2,1025,53,14,6,354,01,04,23
42.3295,-71.0826,6,1027,53,14,5.7,353,01,05,00
42.3295,-71.0826,9,1028,54,12,5.2,353,01,05,01
42.3295,-71.0826,6,1028,53,10,5.6000000000000005,356,01,05,02
42.3295,-71.0826,7,1029,52,10,6.2,354,01,05,03
42.3295,-71.0826,8,1029,53,8,6.2,356,01,05,04
42.3295,-71.0826,6,1031,54,8,5.6000000000000005,353,01,05,05
42.3295,-71.0826,8,1031,54,8,5.7,352,01,05,06
42.3295,-71.0826,6,1032,54,8,5.1000000000000005,352,01,05,07
42.3295,-71.0826,10,1033,49,10,5.2,357,01,05,08
42.3295,-71.0826,9,1033,44,14,3.3000000000000003,357,01,05,09
42.3295,-71.0826,6,1033,37,17,4.3,1,01,05,10
42.3295,-71.0826,7,1033,32,21,3.1,356,01,05,11
42.3295,-71.0826,4,1032,28,25,3.7,357,01,05,12
