Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,Month,Day,Hour
40.46542,-79.960757,7,982.6,73,40.300000000000004,7.4,230,01,01,00
40.46542,-79.960757,11,983.2,72,40.1,6.9,239,01,01,01
40.46542,-79.960757,8,984.7,77,37.9,6.8,264,01,01,02
40.46542,-79.960757,6,985.8000000000001,77,37.2,3.9,279,01,01,03
40.46542,-79.960757,9,986.7,77,35.800000000000004,1.9000000000000001,279,01,01,04
40.46542,-79.960757,11,987.4,72,34.5,1.7,293,01,01,05
40.46542,-79.960757,13,988.4,68,33.4,0.8,318,01,01,06
40.46542,-79.960757,12,989.2,66,32.5,1,242,01,01,07
40.46542,-79.960757,12,990.2,72,31.6,0.8,357,01,01,08
40.46542,-79.960757,14,991.2,73,32,1.2,345,01,01,09
40.46542,-79.960757,14,992,58,36.7,0.7000000000000001,196,01,01,10
40.46542,-79.960757,9,992,52,38.7,1.6,207,01,01,11
40.46542,-79.960757,8,991.9,52,40.300000000000004,2.6,249,01,01,12
40.46542,-79.960757,13,991.8000000000001,50,41.7,2.7,271,01,01,13
40.46542,-79.960757,9,992.2,46,44.6,2.1,255,01,01,14
40.46542,-79.960757,13,992.2,42,46.6,2.6,146,01,01,15
40.46542,-79.960757,12,992.2,46,45.300000000000004,2.7,132,01,01,16
40.46542,-79.960757,13,992.8000000000001,51,43.9,2.3000000000000003,122,01,01,17
40.46542,-79.960757,14,993.2,58,40.6,1.5,52,01,01,18
40.46542,-79.960757,15,993.6,68,36.300000000000004,1.7,8,01,01,19
40.46542,-79.960757,18,993.6,72,34.5,2.1,16,01,01,20
40.46542,-79.960757,16,992.8000000000001,73,34,1.9000000000000001,13,01,01,21
40.46542,-79.960757,13,992.7,72,34.300000000000004,1.8,24,01,01,22
40.46542,-79.960757,16,992.3000000000001,72,34,2.3000000000000003,21,01,01,23
40.46542,-79.960757,16,991.6,71,34,2,19,01,02,00
40.46542,-79.960757,13,991.4,70,34.7,2,11,01,02,01
40.46542,-79.960757,17,991.6,74,34.9,1.4000000000000001,14,01,02,02
40.46542,-79.960757,9,991.8000000000001,78,34.9,2,6,01,02,03
40.46542,-79.960757,15,991.4,82,34.7,1.8,2,01,02,04
40.46542,-79.960757,14,991.4,85,35.800000000000004,1.6,10,01,02,05
40.46542,-79.960757,12,991.4,87,37,1.7,5,01,02,06
40.46542,-79.960757,9,991.5,87,40.5,1.5,50,01,02,07
40.46542,-79.960757,7,991.9,87,40.5,1.5,5,01,02,08
40.46542,-79.960757,10,992.2,88,41.7,1,18,01,02,09
40.46542,-79.960757,8,992.2,88,44.2,2.8000000000000003,115,01,02,10
40.46542,-79.960757,5,991.8000000000001,87,45.9,1.7,108,01,02,11
40.46542,-79.960757,7,991.1,86,46.800000000000004,1.3,75,01,02,12
40.46542,-79.960757,6,990.7,86,47.5,3,80,01,02,13
40.46542,-79.960757,6,990.4,86,48,2.8000000000000003,88,01,02,14
40.46542,-79.960757,7,990.2,85,48.6,3.3000000000000003,86,01,02,15
40.46542,-79.960757,5,989.8000000000001,84,48.6,2.8000000000000003,77,01,02,16
40.46542,-79.960757,7,990,85,47.7,1.3,54,01,02,17
40.46542,-79.960757,4,989.2,83,47.7,3.5,73,01,02,18
40.46542,-79.960757,5,988.3000000000001,77,47.7,4,76,01,02,19
40.46542,-79.960757,7,988.2,75,47.7,4.2,79,01,02,20
40.46542,-79.960757,5,987.4,74,47.5,4.4,79,01,02,21
40.46542,-79.960757,4,987,74,47.1,3.8000000000000003,89,01,02,22
40.46542,-79.960757,2,986.3000000000001,74,46.2,3.6,86,01,02,23
40.46542,-79.960757,2,985.4,75,45.300000000000004,3,69,01,03,00
40.46542,-79.960757,1,984.2,78,44.2,1.6,52,01,03,01
40.46542,-79.960757,3,983.4,78,44.1,1.5,41,01,03,02
40.46542,-79.960757,2,982.3000000000001,79,43.7,2.1,27,01,03,03
40.46542,-79.960757,2,981.2,80,43.5,1.6,13,01,03,04
40.46542,-79.960757,2,979.9,82,43.2,2.2,14,01,03,05
40.46542,-79.960757,0,979,84,44.2,1.7,31,01,03,06
40.46542,-79.960757,-1,978.3000000000001,84,46.800000000000004,2.8000000000000003,80,01,03,07
40.46542,-79.960757,1,977.5,84,46.6,3.7,79,01,03,08
40.46542,-79.960757,2,977,84,46,3.6,87,01,03,09
40.46542,-79.960757,5,976.4,84,45.7,3.3000000000000003,91,01,03,10
40.46542,-79.960757,5,975.4,85,45.9,2.9,111,01,03,11
40.46542,-79.960757,3,973.6,86,46.800000000000004,2.8000000000000003,118,01,03,12
40.46542,-79.960757,1,972.3000000000001,85,47.1,3,120,01,03,13
40.46542,-79.960757,0,971.5,85,47.800000000000004,2.2,122,01,03,14
40.46542,-79.960757,5,971.1,85,48.2,1.5,125,01,03,15
40.46542,-79.960757,5,970.8000000000001,86,48.2,1,127,01,03,16
40.46542,-79.960757,8,970.4,87,48,0.6,354,01,03,17
40.46542,-79.960757,9,970.3000000000001,88,48,0.3,5,01,03,18
40.46542,-79.960757,9,969.8000000000001,88,48.2,0.4,284,01,03,19
40.46542,-79.960757,14,969.6,89,49.5,2.5,246,01,03,20
40.46542,-79.960757,7,969.5,89,50.4,3,241,01,03,21
40.46542,-79.960757,6,969.5,88,50.4,3.9,269,01,03,22
40.46542,-79.960757,4,970.4,84,48.4,10.1,282,01,03,23
40.46542,-79.960757,0,970.6,81,45,6.8,268,01,04,00
40.46542,-79.960757,2,971.2,81,44.4,5.9,264,01,04,01
40.46542,-79.960757,2,972.2,82,44.1,8,255,01,04,02
40.46542,-79.960757,7,972.4,84,44.1,6.6000000000000005,258,01,04,03
40.46542,-79.960757,7,972.4,79,44.4,9.200000000000001,279,01,04,04
40.46542,-79.960757,6,973,78,42.4,8.6,282,01,04,05
40.46542,-79.960757,4,973.6,76,41,10,278,01,04,06
40.46542,-79.960757,1,974.7,78,38.300000000000004,9.200000000000001,278,01,04,07
40.46542,-79.960757,4,975.5,73,37.4,9,275,01,04,08
40.46542,-79.960757,8,975.9,67,37.4,8.5,248,01,04,09
40.46542,-79.960757,7,976.3000000000001,55,37.4,10.5,255,01,04,10
40.46542,-79.960757,6,976.4,41,36.300000000000004,14.1,249,01,04,11
40.46542,-79.960757,10,976.4,40,35.4,11.9,265,01,04,12
40.46542,-79.960757,8,976.8000000000001,41,33.1,12.1,260,01,04,13
40.46542,-79.960757,7,977.2,35,32.2,13.5,272,01,04,14
40.46542,-79.960757,4,977.8000000000001,36,30.7,13.4,276,01,04,15
40.46542,-79.960757,4,978.3000000000001,37,29.5,11.1,265,01,04,16
40.46542,-79.960757,5,979,38,27.5,12.1,252,01,04,17
40.46542,-79.960757,4,980,41,25.7,10.5,264,01,04,18
40.46542,-79.960757,2,980.8000000000001,44,23.7,10.200000000000001,282,01,04,19
40.46542,-79.960757,2,981.5,45,22.3,9.9,277,01,04,20
40.46542,-79.960757,2,982,44,21.900000000000002,8.6,262,01,04,21
40.46542,-79.960757,4,982.3000000000001,44,21.400000000000002,8.9,260,01,04,22
40.46542,-79.960757,3,982.2,45,21.2,8.3,256,01,04,23
40.46542,-79.960757,3,982.2,43,20.7,9.8,251,01,05,00
40.46542,-79.960757,4,982.7,46,20.1,8.3,255,01,05,01
40.46542,-79.960757,7,983.1,47,19.8,7.8,259,01,05,02
40.46542,-79.960757,5,983.5,49,19.2,7.2,276,01,05,03
40.46542,-79.960757,3,983.5,46,18.7,6.8,269,01,05,04
40.46542,-79.960757,7,983.9,48,18.3,6.9,256,01,05,05
40.46542,-79.960757,7,984.4,50,18.1,5,253,01,05,06
40.46542,-79.960757,6,984.6,50,18.1,7.8,227,01,05,07
40.46542,-79.960757,7,984.4,51,18.3,6.1000000000000005,240,01,05,08
40.46542,-79.960757,5,984.3000000000001,52,19.2,6.2,242,01,05,09
40.46542,-79.960757,6,984.6,50,19.8,6.4,238,01,05,10
40.46542,-79.960757,6,984.2,53,19.900000000000002,6.8,241,01,05,11
40.46542,-79.960757,6,983.2,56,19.900000000000002,6.7,239,01,05,12
40.46542,-79.960757,7,982.2,55,20.5,6.2,224,01,05,13
40.46542,-79.960757,8,981.8000000000001,58,20.7,4.9,239,01,05,14
40.46542,-79.960757,9,981.6,64,20.7,4.3,223,01,05,15
40.46542,-79.960757,5,981.8000000000001,70,20.1,3.9,272,01,05,16
40.46542,-79.960757,4,981.9,78,19.2,2.3000000000000003,273,01,05,17
40.46542,-79.960757,8,982.3000000000001,78,19.400000000000002,1.8,261,01,05,18
40.46542,-79.960757,9,982.4,79,19.8,1.9000000000000001,259,01,05,19
