Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,Date Time,Month,Day,Hour
42.306674,-83.148754,10,987,58,32,6.9,304,2017-01-01 00:00:00,1,1,0
42.306674,-83.148754,10,988,61,32,6.9,297,2017-01-01 01:00:00,1,1,1
42.306674,-83.148754,10,989,62,30,5.2,278,2017-01-01 02:00:00,1,1,2
42.306674,-83.148754,9,989,64,30,3.5,293,2017-01-01 03:00:00,1,1,3
42.306674,-83.148754,11,991,65,30,5.2,246,2017-01-01 04:00:00,1,1,4
42.306674,-83.148754,18,991,67,30,6.1000000000000005,225,2017-01-01 05:00:00,1,1,5
42.306674,-83.148754,27,992,70,30,5.2,201,2017-01-01 06:00:00,1,1,6
42.306674,-83.148754,23,993,69,30,5.2,226,2017-01-01 07:00:00,1,1,7
42.306674,-83.148754,16,993,69,30,6.9,232,2017-01-01 08:00:00,1,1,8
42.306674,-83.148754,17,995,67,32,6.9,230,2017-01-01 09:00:00,1,1,9
42.306674,-83.148754,15,995,62,34,6.1000000000000005,266,2017-01-01 10:00:00,1,1,10
42.306674,-83.148754,10,995,56,36,6.1000000000000005,242,2017-01-01 11:00:00,1,1,11
42.306674,-83.148754,6,995,50,37,3.5,252,2017-01-01 12:00:00,1,1,12
42.306674,-83.148754,11,995,47,39,5.2,188,2017-01-01 13:00:00,1,1,13
42.306674,-83.148754,11,995,58,39,7.8,161,2017-01-01 14:00:00,1,1,14
42.306674,-83.148754,12,995,59,39,6.9,161,2017-01-01 15:00:00,1,1,15
42.306674,-83.148754,12,996,61,37,6.1000000000000005,162,2017-01-01 16:00:00,1,1,16
42.306674,-83.148754,10,996,64,36,4.3,157,2017-01-01 17:00:00,1,1,17
42.306674,-83.148754,14,997,66,36,4.3,154,2017-01-01 18:00:00,1,1,18
42.306674,-83.148754,16,997,69,34,2.6,120,2017-01-01 19:00:00,1,1,19
42.306674,-83.148754,17,997,73,32,1.7,113,2017-01-01 20:00:00,1,1,20
