Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,CO,NO2,O3,PM10,SO2,Date Time,Month,Day,Hour
42.22862,-83.2082,8,1000,66,30,9.6,243,0.22857142857142862,6.7250000000000005,0.034800000000000005,21.0,0.781818181818182,2016-01-01 00:00:00,1,1,0
42.22862,-83.2082,8,1000,67,30,7.8,236,0.18571428571428572,6.8428571428571425,0.03416666666666667,14.8,0.7714285714285715,2016-01-01 01:00:00,1,1,1
42.22862,-83.2082,8,999,67,30,8.700000000000001,240,0.18888888888888888,5.671428571428572,0.034,14.0,0.8888888888888888,2016-01-01 02:00:00,1,1,2
42.22862,-83.2082,8,999,66,30,8.700000000000001,235,0.17500000000000002,6.271428571428571,0.03383333333333333,13.4,0.37,2016-01-01 03:00:00,1,1,3
42.22862,-83.2082,7,999,68,28,9.6,236,0.17777777777777778,4.875,0.033,17.6,0.6727272727272727,2016-01-01 04:00:00,1,1,4
42.22862,-83.2082,8,999,66,28,9.6,238,0.15555555555555556,3.975,0.03283333333333333,20.8,0.6818181818181818,2016-01-01 05:00:00,1,1,5
42.22862,-83.2082,10,999,67,28,8.700000000000001,234,0.16666666666666666,4.6625,0.0325,21.6,0.6181818181818182,2016-01-01 06:00:00,1,1,6
42.22862,-83.2082,9,999,66,28,9.6,228,0.16666666666666666,4.725,0.03233333333333333,24.0,0.6454545454545455,2016-01-01 07:00:00,1,1,7
42.22862,-83.2082,9,999,69,28,9.6,225,0.16666666666666666,3.9250000000000003,0.03166666666666667,17.6,0.5636363636363636,2016-01-01 08:00:00,1,1,8
42.22862,-83.2082,8,999,66,28,10.4,235,0.17777777777777776,4.1625,0.030833333333333334,22.8,0.49090909090909096,2016-01-01 09:00:00,1,1,9
42.22862,-83.2082,8,999,65,28,10.4,240,0.17777777777777776,4.9125,0.03,28.8,0.5818181818181819,2016-01-01 10:00:00,1,1,10
42.22862,-83.2082,8,999,66,28,10.4,237,0.18888888888888888,5.0875,0.029833333333333333,23.6,0.6,2016-01-01 11:00:00,1,1,11
42.22862,-83.2082,9,999,69,28,9.6,233,0.21111111111111114,6.0125,0.03,19.4,0.4727272727272727,2016-01-01 12:00:00,1,1,12
42.22862,-83.2082,10,999,74,28,9.6,239,0.20000000000000004,5.5125,0.029833333333333333,20.4,0.5545454545454546,2016-01-01 13:00:00,1,1,13
42.22862,-83.2082,10,999,74,27,9.6,255,0.1888888888888889,6.2,0.029833333333333333,23.4,0.45454545454545453,2016-01-01 14:00:00,1,1,14
42.22862,-83.2082,10,999,74,27,7.8,253,0.21111111111111114,6.625,0.0295,18.0,0.4454545454545455,2016-01-01 15:00:00,1,1,15
42.22862,-83.2082,12,999,75,27,6.9,244,0.2222222222222222,6.6375,0.030166666666666665,14.4,0.4454545454545455,2016-01-01 16:00:00,1,1,16
42.22862,-83.2082,10,999,74,27,6.9,244,0.2222222222222222,7.9375,0.030333333333333334,15.8,0.4454545454545455,2016-01-01 17:00:00,1,1,17
42.22862,-83.2082,9,999,73,28,6.9,239,0.225,8.4125,0.030666666666666665,14.0,0.4800000000000001,2016-01-01 18:00:00,1,1,18
42.22862,-83.2082,9,999,72,28,6.9,235,0.21250000000000002,7.85,0.0305,13.2,0.49000000000000005,2016-01-01 19:00:00,1,1,19
42.22862,-83.2082,8,1000,70,28,6.9,234,0.2222222222222222,7.2,0.03,12.6,0.509090909090909,2016-01-01 20:00:00,1,1,20
42.22862,-83.2082,8,999,69,28,6.9,233,0.21111111111111114,6.4,0.0294,12.8,0.49090909090909096,2016-01-01 21:00:00,1,1,21
42.22862,-83.2082,7,999,71,28,6.1000000000000005,230,0.24,5.9375,0.03,12.6,0.37142857142857144,2016-01-01 22:00:00,1,1,22
42.22862,-83.2082,7,999,73,28,6.1000000000000005,228,0.2111111111111111,5.7124999999999995,0.029599999999999998,13.0,0.5181818181818183,2016-01-01 23:00:00,1,1,23
42.22862,-83.2082,6,999,74,28,6.1000000000000005,236,0.17142857142857146,4.75,0.0298,12.0,0.5363636363636364,2016-01-02 00:00:00,1,2,0
42.22862,-83.2082,6,997,76,28,6.1000000000000005,211,0.15714285714285717,5.571428571428571,0.03,11.2,0.6142857142857142,2016-01-02 01:00:00,1,2,1
42.22862,-83.2082,9,997,79,28,6.9,214,0.17777777777777778,6.057142857142857,0.028,10.0,0.5111111111111111,2016-01-02 02:00:00,1,2,2
42.22862,-83.2082,7,997,80,28,6.9,223,0.1625,6.642857142857143,0.03,11.4,0.29,2016-01-02 03:00:00,1,2,3
42.22862,-83.2082,6,996,80,28,7.8,226,0.15555555555555556,6.4,0.0314,12.0,0.4636363636363636,2016-01-02 04:00:00,1,2,4
42.22862,-83.2082,7,996,81,28,6.9,226,0.17777777777777778,5.7125,0.029833333333333333,14.0,0.5818181818181819,2016-01-02 05:00:00,1,2,5
42.22862,-83.2082,7,996,80,30,6.9,225,0.2,5.575,0.0305,12.6,0.43636363636363645,2016-01-02 06:00:00,1,2,6
42.22862,-83.2082,8,996,79,30,6.1000000000000005,225,0.2,7.387499999999999,0.030666666666666665,12.4,0.5272727272727273,2016-01-02 07:00:00,1,2,7
42.22862,-83.2082,8,996,79,30,6.1000000000000005,223,0.21111111111111114,7.125,0.0305,13.2,0.5,2016-01-02 08:00:00,1,2,8
42.22862,-83.2082,7,997,78,30,5.2,223,0.23333333333333334,8.025,0.031,12.4,0.5818181818181819,2016-01-02 09:00:00,1,2,9
