Latitude,Longitude,PM25,Press,RH,Temp,Wind Speed,Wind Direction,CO,NO2,O3,PM10,SO2,Date Time,Month,Day,Hour
33.792359999999995,-118.17533,9.8,1010,66,60.7,8,169,0.17940845070422537,2.4019801980198014,0.03938922155688624,30.493243243243242,0.26129032258064516,2017-06-10 13:00:00,6,10,13
33.792359999999995,-118.17533,8.700000000000001,1009,61,62.4,7.3,173,0.17694366197183103,2.395049504950495,0.04000602409638556,31.02567567567568,0.28064516129032263,2017-06-10 14:00:00,6,10,14
33.792359999999995,-118.17533,7.7,1009,66,61.6,7.8,173,0.17750000000000007,2.4559999999999995,0.04017469879518073,41.88513513513514,0.31935483870967735,2017-06-10 15:00:00,6,10,15
33.792359999999995,-118.17533,8.9,1009,67,61.9,6.4,161,0.17436619718309862,2.406930693069306,0.03962275449101796,45.01081081081081,0.3161290322580645,2017-06-10 16:00:00,6,10,16
33.792359999999995,-118.17533,8.9,1008,67,61.5,5.2,160,0.1814929577464789,2.489108910891088,0.03879041916167664,37.9554054054054,0.29354838709677417,2017-06-10 17:00:00,6,10,17
33.792359999999995,-118.17533,9.6,1008,73,59.300000000000004,5.3,163,0.18749295774647887,3.0346534653465347,0.03705988023952095,30.37972972972973,0.28387096774193543,2017-06-10 18:00:00,6,10,18
33.792359999999995,-118.17533,7.5,1008,73,59.4,4.3,149,0.18788732394366198,3.3752475247524756,0.03473053892215565,27.427027027027027,0.23870967741935487,2017-06-10 19:00:00,6,10,19
33.792359999999995,-118.17533,5.5,1008,69,60,1.6,239,0.18276056338028168,3.6227722772277233,0.03280120481927709,31.102702702702707,0.21612903225806454,2017-06-10 20:00:00,6,10,20
33.792359999999995,-118.17533,6.2,1009,70,59.5,4.2,170,0.18878873239436617,3.8306930693069305,0.031053892215568847,28.124324324324323,0.2161290322580645,2017-06-10 21:00:00,6,10,21
33.792359999999995,-118.17533,6.7,1008,74,59.1,4.1,190,0.18161194029850752,3.4677083333333325,0.029693251533742315,22.716216216216218,0.19642857142857142,2017-06-10 22:00:00,6,10,22
33.792359999999995,-118.17533,9.200000000000001,1008,76,58.300000000000004,5.1000000000000005,157,0.17792857142857146,3.187878787878788,0.02889570552147238,19.176,0.21333333333333337,2017-06-10 23:00:00,6,10,23
33.792359999999995,-118.17533,10.8,1008,80,56.800000000000004,6.6000000000000005,139,0.17704285714285714,2.4629999999999996,0.028463414634146304,19.254666666666665,0.24333333333333335,2017-06-11 00:00:00,6,11,0
33.792359999999995,-118.17533,9.4,1008,78,56.4,5.1000000000000005,128,0.16604761904761908,2.6395061728395057,0.028380952380952368,17.316,0.33809523809523806,2017-06-11 01:00:00,6,11,1
33.792359999999995,-118.17533,7.5,1007,77,56,5.1000000000000005,135,0.16882539682539682,2.514444444444444,0.026999999999999986,18.190666666666665,0.2708333333333333,2017-06-11 02:00:00,6,11,2
33.792359999999995,-118.17533,3.8000000000000003,1007,79,55.9,4.9,142,0.15144642857142854,2.3897435897435897,0.02710294117647058,14.341333333333331,0.215,2017-06-11 03:00:00,6,11,3
33.792359999999995,-118.17533,1.8,1007,81,55.6,6.4,141,0.1738688524590164,2.5835294117647054,0.025679389312977082,15.176,0.20434782608695654,2017-06-11 04:00:00,6,11,4
33.792359999999995,-118.17533,2.3000000000000003,1008,78,56.1,5,125,0.17279999999999998,3.0772277227722764,0.024560975609756067,16.13866666666667,0.26,2017-06-11 05:00:00,6,11,5
33.792359999999995,-118.17533,2.6,1009,76,57.1,5.9,118,0.16791304347826086,2.722,0.026890243902439014,16.92,0.26896551724137935,2017-06-11 06:00:00,6,11,6
33.792359999999995,-118.17533,2.3000000000000003,1009,74,58.4,6.3,125,0.16437142857142856,2.596039603960396,0.029084848484848467,16.578666666666667,0.31333333333333335,2017-06-11 07:00:00,6,11,7
33.792359999999995,-118.17533,6.2,1010,74,58.800000000000004,6.9,147,0.15992857142857142,2.3460784313725487,0.030769696969696943,17.634666666666664,0.2800000000000001,2017-06-11 08:00:00,6,11,8
33.792359999999995,-118.17533,9.700000000000001,1010,70,59.7,6.5,163,0.16282857142857138,2.145098039215687,0.03232727272727271,19.24054054054054,0.3466666666666667,2017-06-11 09:00:00,6,11,9
33.792359999999995,-118.17533,11,1011,62,62.6,7.7,174,0.1641428571428571,2.0882352941176467,0.03394545454545451,26.87972972972973,0.3499999999999999,2017-06-11 10:00:00,6,11,10
33.792359999999995,-118.17533,11.1,1011,61,62.4,8.8,184,0.15895714285714288,1.8421568627450984,0.0353272727272727,45.89594594594595,0.2833333333333333,2017-06-11 11:00:00,6,11,11
33.792359999999995,-118.17533,9.8,1011,58,63,7.7,183,0.1622714285714286,1.8039215686274508,0.03632926829268292,53.61351351351352,0.2866666666666667,2017-06-11 12:00:00,6,11,12
33.792359999999995,-118.17533,8.700000000000001,1011,59,62.800000000000004,8.4,186,0.1601714285714286,1.7774509803921563,0.03692682926829269,55.3054794520548,0.24333333333333332,2017-06-11 13:00:00,6,11,13
33.792359999999995,-118.17533,8,1011,56,63.800000000000004,6.6000000000000005,190,0.16675714285714285,1.95,0.037189024390243894,60.4891891891892,0.30333333333333334,2017-06-11 14:00:00,6,11,14
33.792359999999995,-118.17533,12,1011,54,64.7,5.6000000000000005,195,0.16331428571428575,1.9784313725490197,0.03738787878787879,67.67837837837838,0.2866666666666667,2017-06-11 15:00:00,6,11,15
33.792359999999995,-118.17533,12,1010,49,65.3,5.4,184,0.16722857142857145,2.2225490196078432,0.03701212121212118,67.67162162162163,0.3266666666666666,2017-06-11 16:00:00,6,11,16
33.792359999999995,-118.17533,10.1,1010,53,64.4,5,290,0.16425714285714293,2.3607843137254907,0.036242424242424215,56.181081081081075,0.2866666666666667,2017-06-11 17:00:00,6,11,17
33.792359999999995,-118.17533,9.4,1010,56,61.4,5.2,298,0.1742,2.8500000000000005,0.03463636363636363,51.98783783783784,0.39666666666666667,2017-06-11 18:00:00,6,11,18
33.792359999999995,-118.17533,7.4,1011,61,58.800000000000004,4.5,288,0.1781,3.3333333333333335,0.03254545454545452,54.89466666666667,0.2966666666666667,2017-06-11 19:00:00,6,11,19
33.792359999999995,-118.17533,5.5,1011,65,57.7,4.3,285,0.18017142857142857,3.703921568627452,0.030599999999999985,43.7,0.18666666666666668,2017-06-11 20:00:00,6,11,20
33.792359999999995,-118.17533,6.5,1011,67,56.6,2.6,287,0.19366176470588228,4.061,0.02911656441717788,40.77733333333334,0.21428571428571433,2017-06-11 21:00:00,6,11,21
33.792359999999995,-118.17533,10,1011,67,56.2,1.4000000000000001,305,0.18895384615384617,4.352083333333335,0.027527950310558998,33.2,0.2076923076923077,2017-06-11 22:00:00,6,11,22
33.792359999999995,-118.17533,9.6,1011,67,55.800000000000004,0.7000000000000001,343,0.17320000000000002,4.294059405940594,0.026308641975308602,34.288,0.19333333333333333,2017-06-11 23:00:00,6,11,23
33.792359999999995,-118.17533,8.4,1011,69,55.2,0.4,142,0.17844285714285713,4.166666666666668,0.02496296296296295,22.192,0.18666666666666665,2017-06-12 00:00:00,6,12,0
33.792359999999995,-118.17533,8.9,1011,71,54.9,1.7,155,0.17136363636363636,4.745555555555555,0.023881578947368403,20.685333333333336,0.23750000000000004,2017-06-12 01:00:00,6,12,1
33.792359999999995,-118.17533,8.2,1011,73,54.5,2.4,129,0.16465573770491804,4.9045977011494255,0.022308724832214744,15.901351351351352,0.261904761904762,2017-06-12 02:00:00,6,12,2
33.792359999999995,-118.17533,9.4,1011,76,53.800000000000004,2.3000000000000003,107,0.15525490196078426,5.775714285714285,0.02185156249999997,16.413333333333334,0.21666666666666667,2017-06-12 03:00:00,6,12,3
33.792359999999995,-118.17533,11.5,1011,77,53,2.3000000000000003,77,0.2226,8.170930232558137,0.01841085271317828,15.624324324324325,0.2521739130434783,2017-06-12 04:00:00,6,12,4
33.792359999999995,-118.17533,9.9,1012,73,55.4,2.6,74,0.23542028985507252,8.717821782178216,0.01844171779141102,17.56621621621622,0.24827586206896554,2017-06-12 05:00:00,6,12,5
33.792359999999995,-118.17533,9.1,1013,65,58.800000000000004,4.2,110,0.20602898550724633,6.393069306930692,0.02214110429447851,19.154666666666664,0.23448275862068965,2017-06-12 06:00:00,6,12,6
33.792359999999995,-118.17533,11,1013,61,60.1,5.7,145,0.1897428571428571,4.697058823529413,0.026496932515337402,18.192,0.23103448275862065,2017-06-12 07:00:00,6,12,7
